"id","ahri_number","version","tonnage","outdoor_model","outdoor_model_revision","coil_model_number","coil_model_revision","furnace_model_revision","blower_model_revision","fit","seer","eer","cooling","txv_piston","hsk","hspf","orifice_size","indoor_coil_air_qty","high_cop","hsvtc","model_status","region","high_heat","afue","low_heat","low_cop","system_type","system_type_seer2","cond_seer","stage","indoor_unit","indoor_type","config","cabinet_width","ext_txv","furnace_btu","blower_type","description","file","created_at","updated_at","deleted_at","executed"
"93252","208791156","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822A4","GM9S800403AN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","14","no","040",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% ECM - Single Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93253","208791168","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822A4","GM9S960603BN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","060",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% ECM - Single Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93254","208791187","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822B4","GM9S960803BN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","080",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% ECM - Single Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93255","208791110","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822A4","GM9C800603AN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","14","no","060",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% ECM - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93256","208791123","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822B4","GM9C800803BN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","080",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% ECM - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93257","208790979","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822B4","GMVC800603BN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","060",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% VS - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93258","208790982","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA2426B4","GMVC800603BN",NULL,NULL,"15","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","15","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","060",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% VS - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93259","208790977","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822B4","GMVC800803BN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","080",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% VS - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93260","208790980","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA2426B4","GMVC800803BN",NULL,NULL,"15","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","15","SINGLE STAGE","Furnace","V","Horizontal Flow","17.5","no","080",NULL,"1.5 Ton - SEER2-N4 Single Stage - 80% VS - Two Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
"93261","208791209","seer2","1.5",NULL,"GSXN401810",NULL,"CHPTA1822A4","GM9S960403AN",NULL,NULL,"14.5","11.7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Active",NULL,NULL,NULL,NULL,NULL,"AC/Coil & Furnace","Split System (SEER2) - Gas Heating 15.3 SEER","14","SINGLE STAGE","Furnace","V","Horizontal Flow","14","no","040",NULL,"1.5 Ton - SEER2-N4 Single Stage - 96% ECM - Single Stage",NULL,"2022-12-30 04:05:34","2022-12-30 04:06:26",NULL,"1"
